segment_onset,segment_offset,speaker_type,raw_filename
185212,185386,OCH,all.rttm
185563,185865,MAL,all.rttm
185856,186011,OCH,all.rttm
185993,186371,MAL,all.rttm
186906,187011,OCH,all.rttm
187390,188971,CHI,all.rttm
189449,192451,NA,all.rttm
189511,192344,FEM,all.rttm
189523,189747,MAL,all.rttm
192561,200896,NA,all.rttm
192812,192981,MAL,all.rttm
193263,194854,CHI,all.rttm
194817,199291,FEM,all.rttm
198511,199122,MAL,all.rttm
199775,200835,CHI,all.rttm
201180,202223,NA,all.rttm
201212,202230,FEM,all.rttm
203788,212455,NA,all.rttm
203793,205021,FEM,all.rttm
205268,206000,CHI,all.rttm
205880,206547,MAL,all.rttm
206493,209934,CHI,all.rttm
207286,209011,OCH,all.rttm
209132,209496,OCH,all.rttm
209512,212399,FEM,all.rttm
213813,220393,CHI,all.rttm
213818,222679,NA,all.rttm
214601,216658,OCH,all.rttm
220425,221910,FEM,all.rttm
221997,222669,CHI,all.rttm
224546,228289,CHI,all.rttm
224566,228290,NA,all.rttm
229218,230011,NA,all.rttm
229223,229939,FEM,all.rttm
229757,229963,CHI,all.rttm
231378,232207,FEM,all.rttm
231392,232189,NA,all.rttm
233466,234384,CHI,all.rttm
233483,234414,NA,all.rttm
234821,236671,NA,all.rttm
234822,236655,CHI,all.rttm
237122,237991,NA,all.rttm
237149,237991,FEM,all.rttm
238263,241331,NA,all.rttm
238319,238511,CHI,all.rttm
239011,240172,OCH,all.rttm
239039,239577,FEM,all.rttm
240408,241338,MAL,all.rttm
240992,241267,FEM,all.rttm
242097,244503,NA,all.rttm
242155,244337,CHI,all.rttm
242511,242754,FEM,all.rttm
242992,244187,OCH,all.rttm
244823,245773,MAL,all.rttm
244844,245841,NA,all.rttm
244991,245150,FEM,all.rttm
245489,245779,FEM,all.rttm
246011,253841,NA,all.rttm
246016,247825,CHI,all.rttm
247995,250025,FEM,all.rttm
249725,249892,MAL,all.rttm
250493,253806,CHI,all.rttm
251709,251881,OCH,all.rttm
253996,254841,CHI,all.rttm
254001,254838,NA,all.rttm
256387,257729,NA,all.rttm
256421,257617,CHI,all.rttm
257263,257511,OCH,all.rttm
259087,260219,NA,all.rttm
259109,260196,CHI,all.rttm
262096,264261,CHI,all.rttm
262101,267589,NA,all.rttm
264359,267493,FEM,all.rttm
267789,271669,NA,all.rttm
267990,269661,CHI,all.rttm
268699,269470,OCH,all.rttm
269576,270992,FEM,all.rttm
270992,271221,CHI,all.rttm
271099,271229,FEM,all.rttm
271141,271475,OCH,all.rttm
275840,284704,NA,all.rttm
276060,276534,CHI,all.rttm
276662,276805,OCH,all.rttm
277044,282738,FEM,all.rttm
277209,278667,MAL,all.rttm
282720,284375,CHI,all.rttm
284985,287493,NA,all.rttm
285010,286991,CHI,all.rttm
286215,286630,OCH,all.rttm
290275,290491,NA,all.rttm
295010,298068,NA,all.rttm
295964,297817,FEM,all.rttm
296042,296427,MAL,all.rttm
299012,300993,NA,all.rttm
299179,300708,CHI,all.rttm
299185,299985,OCH,all.rttm
301511,306413,NA,all.rttm
301767,305491,OCH,all.rttm
301782,305611,CHI,all.rttm
305647,306244,MAL,all.rttm
306011,306202,FEM,all.rttm
306696,312258,NA,all.rttm
306767,312221,CHI,all.rttm
306863,307992,OCH,all.rttm
312927,316262,NA,all.rttm
312935,314099,CHI,all.rttm
314042,316249,FEM,all.rttm
314191,314346,MAL,all.rttm
314327,314445,CHI,all.rttm
320186,323639,NA,all.rttm
320232,321509,CHI,all.rttm
321011,321242,FEM,all.rttm
321875,323510,CHI,all.rttm
321962,322492,OCH,all.rttm
323207,323438,OCH,all.rttm
326415,327814,CHI,all.rttm
326422,327816,NA,all.rttm
336177,337154,CHI,all.rttm
336179,342338,NA,all.rttm
337530,338735,MAL,all.rttm
337993,340774,FEM,all.rttm
338992,339537,MAL,all.rttm
340063,341577,CHI,all.rttm
341012,342229,FEM,all.rttm
342704,344071,NA,all.rttm
342821,343511,OCH,all.rttm
342836,342993,CHI,all.rttm
343508,344013,FEM,all.rttm
344844,345936,NA,all.rttm
344859,345946,CHI,all.rttm
348011,354948,NA,all.rttm
348123,350143,CHI,all.rttm
348251,348798,OCH,all.rttm
348960,349407,OCH,all.rttm
350241,352617,FEM,all.rttm
350249,351483,MAL,all.rttm
351859,352244,MAL,all.rttm
353418,354947,CHI,all.rttm
353437,353974,FEM,all.rttm
355511,356993,CHI,all.rttm
355511,356993,NA,all.rttm
357590,358503,MAL,all.rttm
357689,358838,NA,all.rttm
361493,363727,NA,all.rttm
361498,363639,CHI,all.rttm
365345,367918,NA,all.rttm
365475,367687,FEM,all.rttm
368677,370133,NA,all.rttm
368764,370072,FEM,all.rttm
370342,372391,NA,all.rttm
370405,371237,CHI,all.rttm
371218,372391,FEM,all.rttm
372944,373727,NA,all.rttm
372944,373729,CHI,all.rttm
375685,383110,NA,all.rttm
375784,376282,CHI,all.rttm
376010,383109,FEM,all.rttm
377163,377580,MAL,all.rttm
