segment_onset,segment_offset,speaker_type,raw_filename
1348,3054,NA,all.rttm
1370,3010,FEM,all.rttm
3328,6511,NA,all.rttm
3363,5223,FEM,all.rttm
5402,6511,FEM,all.rttm
7427,9040,NA,all.rttm
7437,9013,CHI,all.rttm
9833,12337,FEM,all.rttm
9835,19938,NA,all.rttm
12482,12818,FEM,all.rttm
12992,19929,FEM,all.rttm
20734,21765,NA,all.rttm
20738,21751,FEM,all.rttm
22265,23591,NA,all.rttm
22295,23523,CHI,all.rttm
22591,23511,OCH,all.rttm
24096,26953,NA,all.rttm
24099,24740,MAL,all.rttm
24244,26227,FEM,all.rttm
26011,26873,OCH,all.rttm
27319,28688,NA,all.rttm
27353,28656,FEM,all.rttm
29243,32022,NA,all.rttm
29255,32012,FEM,all.rttm
32630,34706,NA,all.rttm
32641,34701,FEM,all.rttm
34950,40763,NA,all.rttm
34970,37505,CHI,all.rttm
36492,37511,OCH,all.rttm
37493,38922,MAL,all.rttm
38011,38878,FEM,all.rttm
38991,40491,OCH,all.rttm
41492,42132,FEM,all.rttm
41492,42138,NA,all.rttm
43585,48799,FEM,all.rttm
43590,48853,NA,all.rttm
47414,47939,MAL,all.rttm
49012,55492,FEM,all.rttm
49012,55492,NA,all.rttm
55061,55208,MAL,all.rttm
56027,58339,NA,all.rttm
56332,58315,CHI,all.rttm
58497,59550,NA,all.rttm
58523,59512,FEM,all.rttm
58742,58872,MAL,all.rttm
58990,59324,MAL,all.rttm
60708,61906,CHI,all.rttm
60711,61907,NA,all.rttm
62512,63722,NA,all.rttm
62547,63708,FEM,all.rttm
64648,66757,CHI,all.rttm
64658,66901,NA,all.rttm
66241,66406,OCH,all.rttm
67119,75666,NA,all.rttm
67176,68975,FEM,all.rttm
67201,69045,MAL,all.rttm
69140,70004,OCH,all.rttm
69248,71003,CHI,all.rttm
70754,73608,FEM,all.rttm
70814,71092,MAL,all.rttm
74113,75622,CHI,all.rttm
74218,75492,OCH,all.rttm
76128,79992,NA,all.rttm
76133,78423,CHI,all.rttm
78339,79971,FEM,all.rttm
78968,79538,MAL,all.rttm
80960,83592,NA,all.rttm
80976,82388,CHI,all.rttm
82517,83492,FEM,all.rttm
83030,83423,MAL,all.rttm
83823,85187,NA,all.rttm
83881,85035,CHI,all.rttm
84512,85125,FEM,all.rttm
85732,85862,NA,all.rttm
86010,87011,NA,all.rttm
86073,86998,FEM,all.rttm
88356,99083,NA,all.rttm
88385,90960,CHI,all.rttm
90950,94063,FEM,all.rttm
93012,94205,MAL,all.rttm
94971,98057,CHI,all.rttm
95011,97492,OCH,all.rttm
98111,99036,FEM,all.rttm
98142,99011,MAL,all.rttm
99623,102912,FEM,all.rttm
99632,104160,NA,all.rttm
102492,104129,CHI,all.rttm
102693,103862,OCH,all.rttm
104304,104741,NA,all.rttm
104428,104698,FEM,all.rttm
105254,111491,FEM,all.rttm
105260,118792,NA,all.rttm
111167,111294,MAL,all.rttm
111859,116442,FEM,all.rttm
116576,118760,FEM,all.rttm
117173,118621,MAL,all.rttm
119532,120799,CHI,all.rttm
119537,120809,NA,all.rttm
121011,122732,NA,all.rttm
121022,122645,FEM,all.rttm
122885,124836,NA,all.rttm
122948,124792,CHI,all.rttm
125322,134073,NA,all.rttm
125388,127121,FEM,all.rttm
126600,127310,MAL,all.rttm
127492,130992,CHI,all.rttm
130506,131731,FEM,all.rttm
131104,133424,MAL,all.rttm
132011,132492,FEM,all.rttm
133493,134079,CHI,all.rttm
134681,136369,FEM,all.rttm
134688,136392,NA,all.rttm
136760,150155,NA,all.rttm
136784,137361,CHI,all.rttm
137511,139821,CHI,all.rttm
139772,140069,FEM,all.rttm
139885,141034,MAL,all.rttm
140515,140726,FEM,all.rttm
141416,142474,CHI,all.rttm
141492,142422,OCH,all.rttm
142336,150110,FEM,all.rttm
150626,155700,NA,all.rttm
150699,155627,FEM,all.rttm
150702,151320,MAL,all.rttm
153299,153510,MAL,all.rttm
155927,156774,NA,all.rttm
156011,156511,FEM,all.rttm
156846,157875,MAL,all.rttm
156890,166688,NA,all.rttm
157638,161492,FEM,all.rttm
159192,160486,MAL,all.rttm
161074,162492,MAL,all.rttm
162321,166670,FEM,all.rttm
167572,171662,NA,all.rttm
167623,168602,FEM,all.rttm
168031,170075,CHI,all.rttm
170220,171568,FEM,all.rttm
171011,171372,MAL,all.rttm
172511,176612,NA,all.rttm
172619,174953,CHI,all.rttm
174808,176590,FEM,all.rttm
175011,176120,MAL,all.rttm
177074,178829,NA,all.rttm
177080,177620,CHI,all.rttm
177512,178805,FEM,all.rttm
184798,188973,NA,all.rttm
185082,187512,FEM,all.rttm
